date,city,supermarket,branch,category,name,product_id,price
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Molida de Segunda,835267,53.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Grande Especial 1 kg,835247,79.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Pura Carne 1 kg,835445,60.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadril Especial kg,835439,79.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Picaña Especial kg,414069,73.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Chico Especial 1 kg,835212,75.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Chuleta de Lomo kg,835509,61.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Costilla Especial kg,835896,61.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Filete Especial / Lomito kg,835468,94.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corte Español 1 kg,835623,57.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Jiba 1 kg,835410,56.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Punta de S Especial 1 kg,835404,79.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Milanesa de Carne Hipermaxi kg,088536,60.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tira de Res kg,835534,45.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Osobuco 1 kg,835514,45.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada kg,835316,69.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Hamburguesa Hipermaxi kg,152994,51.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada Especial kg,835435,68.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Silpancho Hipermaxi kg,112255,53.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga de Pollo Pio Rico Bandeja Kg,641037,41.9
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pecho 1 kg,835430,56.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Queperi Especial kg,835414,58.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Molida de Primera,835272,68.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Picada Kg,835905,62.0
2025-05-20,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Rapi kg,835470,53.0
