date,city,supermarket,branch,category,name,product_id,price
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Molida de Segunda,835267,49.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Grande Especial 1 kg,835247,72.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Picaña Especial kg,414069,69.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Pura Carne 1 kg,835445,53.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bollo Chico Especial 1 kg,835212,71.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadril Especial kg,835439,75.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Chuleta de Lomo kg,835509,59.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Filete Especial / Lomito kg,835468,90.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Costilla Especial kg,835896,53.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corte Español 1 kg,835623,55.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Punta de S Especial 1 kg,835404,75.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Jiba 1 kg,835410,51.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada Especial kg,835435,64.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Milanesa de Carne Hipermaxi kg,088536,55.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Osobuco 1 kg,835514,43.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tira de Res kg,835534,43.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Queperi Especial kg,835414,54.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Hamburguesa Hipermaxi kg,152994,46.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Silpancho Hipermaxi kg,112255,48.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Especial Pio Rico kg,671898,20.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Entero Pio Rico kg,641051,18.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pecho 1 kg,835430,50.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Molida de Primera,835272,64.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Picada Kg,835905,60.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga sin Piel Pio Rico Bandeja kg,672511,34.4
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga de Pollo Pio Rico Con Piel kg,671897,32.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Albondigas de Carne Hipermaxi kg,152790,46.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Hamburguesa con Queso Hipermaxi kg,341134,53.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna Muslo Pio Rico Bandeja kg,671896,30.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Hueso Rojo 1 kg,835589,17.4
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Entero Sofia kg,480214,19.8
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Rapi kg,835470,49.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna de Pollo Pio Rico Bandeja kg,641041,31.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Entero Especial La Granja kg,671227,22.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga sin Piel Sofia Bandeja kg,417386,38.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Charque Cocido Libertad Clasico 100 gr,679714,52.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Alas Trozada de Pollo Pio Rico kg,672514,31.9
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corazones de Pollo Pio Rigo kg,672506,27.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Entero La Granja kg,671226,21.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Charque Cocido Libertad Churrasco 100 gr,677868,52.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna de Pollo Sofia kg,480173,32.3
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Fridosa Al Vacio kg,670111,77.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna Muslo Sofia Bandeja kg,436365,32.3
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Colita de Cuadril Frigor al Vacio kg,670561,83.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,INTERCOSTAL RIB FINGERS FRIDOSA AL VACIO KGR,672371,80.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bife de Chorizo Frigor al Vacio kg,672160,80.8
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Alas Enteras Sofia Bandeja kg,480188,41.4
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bife Angosto Fridosa Porcinado al Vacio kg,671408,99.9
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,POLLO TROZADO 1 8 EN BANDEJA PIO RICO KGR,672517,22.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Sin Hueso Frigor Al Vacio,672162,71.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Giba Fridosa Kg,670116,71.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Muslo de Pollo La Granja kg,671236,27.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Para Sopa kg,835767,45.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga de Pollo La Granja con Piel kg,671230,31.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bife Ancho Fridosa Porcindo al Vacio kg,671407,99.8
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Trozado Entero La Granja con Piel kg,671228,22.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Muslo de Ala de Pollo kg,671240,32.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cowboy Steak kg,851363,75.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Alas de Pollo La Granja Entera kg,671237,32.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna de Pollo La Granja kg,671235,27.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Alas de Pollo La Granja Media kg,671239,32.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Punta de Paleta 1 kg,835450,53.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna Muslo Sofia de Pollo Deshuesado Bandeja,672654,35.7
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tira de Res Primer Corte kg,835549,53.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Milanesa de Pollo Hipermaxi kg,168270,50.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Higado Inducarne kg,404023,27.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Grueso de Azotillo kg,835405,44.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Charkitos Clasico Con Maiz 50 gr,671532,16.5
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Panza de Res Inducarne kg,404025,41.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corazon de Res Inducarne kg,404029,43.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Colita de Cuadril kg,835292,77.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cola de Res kg,676859,35.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Riñon de Res Inducarne un,404024,25.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Librillo de Res Inducarne kg,404026,41.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Tomahawk Steak kg,671396,68.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Lomo Parrillero kg,670238,66.0
2025-04-23,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada kg,835316,65.0
