date,city,supermarket,branch,category,name,product_id,price
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Bife Angosto Fridosa Porcinado al Vacio kg,671408,99.9
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollerita Fridosa Al Vacio kg,670111,77.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Medio Pollo Pio Rico Bandeja kg,672518,22.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Filete de Pollo La Granja Bandeja kg,671232,39.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pechuga de Pollo La Granja con Piel kg,671230,31.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Muslo de Pollo Sofia Sin Piel Bandeja,672653,35.8
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Alas de Pollo La Granja Entera kg,671237,32.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Carne Para Sopa kg,835767,45.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Higado Inducarne kg,404023,21.2
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Lomo Parrillero kg,670238,66.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Panza de Res Inducarne kg,404025,30.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Punta de Paleta 1 kg,835450,53.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Milanesa de Pollo Hipermaxi kg,168270,50.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Corazon de Res Inducarne kg,404029,26.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Grueso de Azotillo kg,835405,44.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pierna Muslo Sofia de Pollo Deshuesado Bandeja,672654,37.5
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Colita de Cuadril kg,835292,77.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Pollo Frial Entero Sofia kg,076015,13.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cowboy Steak kg,851363,75.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cola de Res kg,676859,35.0
2025-03-31,Cochabamba,Hipermaxi,Juan de la Rosa,Carnes,Cuadrada kg,835316,65.0
