nombre,url,precio,producto_id
Charque Cocido Libertad Clasico 100 gr,/cochabamba/hipermaxi-juan-de-la-rosa/producto/679714/charque-cocido-libertad-clasico-100-gr,Bs. 52.00,679714
Muslo de Pollo Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672513/muslo-de-pollo-pio-rico-kg,Bs. 34.50,672513
Punta de S Fridosa al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/539260/punta-de-s-fridosa-al-vacio-kg,Bs. 142.80,539260
Colita de Cuadril Fridosa al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/539198/colita-de-cuadril-fridosa-al-vacio-kg,Bs. 97.40,539198
Pierna de Pollo Sofia kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480173/pierna-de-pollo-sofia-kg,Bs. 35.80,480173
Pollerita Sin Hueso Frigor Al Vacio,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672162/pollerita-sin-hueso-frigor-al-vacio,Bs. 71.50,672162
Charque Cocido Libertad Churrasco 100 gr,/cochabamba/hipermaxi-juan-de-la-rosa/producto/677868/charque-cocido-libertad-churrasco-100-gr,Bs. 52.00,677868
Bife de Chorizo Frigor al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672160/bife-de-chorizo-frigor-al-vacio-kg,Bs. 80.80,672160
Pierna Muslo Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/436365/pierna-muslo-sofia-bandeja-kg,Bs. 35.80,436365
Alas Enteras Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480188/alas-enteras-sofia-bandeja-kg,Bs. 46.10,480188
Pollerita Fridosa Al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670111/pollerita-fridosa-al-vacio-kg,Bs. 77.50,670111
Bife Angosto Fridosa Porcinado al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671408/bife-angosto-fridosa-porcinado-al-vacio-kg,Bs. 99.90,671408
Giba Fridosa Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670116/giba-fridosa-kg,Bs. 71.50,670116
Pollo Trozado Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672515/pollo-trozado-pio-rico-kg,Bs. 24.50,672515
Piernas Entera Pio Rico Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672510/piernas-entera-pio-rico-bandeja-kg,Bs. 41.00,672510
Bife Ancho Fridosa Porcindo al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671407/bife-ancho-fridosa-porcindo-al-vacio-kg,Bs. 99.80,671407
POLLO TROZADO 1 8 EN BANDEJA PIO RICO KGR,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672517/pollo-trozado-1-8-en-bandeja-pio-rico-kgr,Bs. 24.50,672517
Alas de Pollo La Granja Entera kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671237/alas-de-pollo-la-granja-entera-kg,Bs. 32.00,671237
