nombre,url,precio,producto_id
Picaña Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/414069/picana-especial-kg,Bs. 68.00,414069
Carne Molida de Segunda,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835267/carne-molida-de-segunda,Bs. 48.00,835267
Bollo Grande Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835247/bollo-grande-especial-1-kg,Bs. 70.00,835247
Cuadril Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835439/cuadril-especial-kg,Bs. 65.00,835439
Pollerita Pura Carne 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835445/pollerita-pura-carne-1-kg,Bs. 47.00,835445
Chuleta de Lomo kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835509/chuleta-de-lomo-kg,Bs. 45.00,835509
Bollo Chico Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835212/bollo-chico-especial-1-kg,Bs. 71.00,835212
Tira de Res Primer Corte kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835549/tira-de-res-primer-corte-kg,Bs. 48.00,835549
Pecho 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835430/pecho-1-kg,Bs. 50.00,835430
Corte Español 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835623/corte-espanol-1-kg,Bs. 54.00,835623
Filete Especial / Lomito kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835468/filete-especial-lomito-kg,Bs. 90.00,835468
Jiba 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835410/jiba-1-kg,Bs. 48.00,835410
Punta de S Especial 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835404/punta-de-s-especial-1-kg,Bs. 74.00,835404
Cuadrada Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835435/cuadrada-especial-kg,Bs. 63.00,835435
Tira de Res kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835534/tira-de-res-kg,Bs. 41.00,835534
Milanesa de Carne Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/088536/milanesa-de-carne-hipermaxi-kg,Bs. 55.00,088536
Osobuco 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835514/osobuco-1-kg,Bs. 39.00,835514
Queperi Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835414/queperi-especial-kg,Bs. 54.00,835414
Pollo Entero Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641051/pollo-entero-pio-rico-kg,Bs. 22.00,641051
Hamburguesa Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/152994/hamburguesa-hipermaxi-kg,Bs. 46.00,152994
Pollo Especial Pio Rico kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671898/pollo-especial-pio-rico-kg,Bs. 24.00,671898
Silpancho Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/112255/silpancho-hipermaxi-kg,Bs. 48.00,112255
Pechuga de Pollo Pio Rico Bandeja Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641037/pechuga-de-pollo-pio-rico-bandeja-kg,Bs. 44.00,641037
Costilla Especial kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835896/costilla-especial-kg,Bs. 52.00,835896
Rapi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835470/rapi-kg,Bs. 48.00,835470
Tomahawk Steak kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671396/tomahawk-steak-kg,Bs. 59.00,671396
Carne Picada Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835905/carne-picada-kg,Bs. 49.50,835905
Pechuga de Pollo Pio Rico Con Piel kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671897/pechuga-de-pollo-pio-rico-con-piel-kg,Bs. 33.50,671897
Pollo Entero Sofia kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480214/pollo-entero-sofia-kg,Bs. 21.60,480214
Pierna Muslo Pio Rico Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671896/pierna-muslo-pio-rico-bandeja-kg,Bs. 32.50,671896
Hamburguesa con Queso Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/341134/hamburguesa-con-queso-hipermaxi-kg,Bs. 53.00,341134
Carne Molida de Primera,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835272/carne-molida-de-primera,Bs. 64.00,835272
Albondigas de Carne Hipermaxi kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/152790/albondigas-de-carne-hipermaxi-kg,Bs. 46.00,152790
Pierna de Pollo Pio Rico Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/641041/pierna-de-pollo-pio-rico-bandeja-kg,Bs. 32.50,641041
Filete de Pechuga Sofia kg Bandeja,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480194/filete-de-pechuga-sofia-kg-bandeja,Bs. 55.00,480194
Pollo Entero Especial La Granja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671227/pollo-entero-especial-la-granja-kg,Bs. 24.50,671227
Hueso Rojo 1 kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/835589/hueso-rojo-1-kg,Bs. 17.40,835589
Pollo Entero La Granja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671226/pollo-entero-la-granja-kg,Bs. 23.50,671226
Pechuga sin Piel Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/417386/pechuga-sin-piel-sofia-bandeja-kg,Bs. 41.90,417386
Colita de Cuadril Frigor al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670561/colita-de-cuadril-frigor-al-vacio-kg,Bs. 83.00,670561
Charque Cocido Libertad Clasico 100 gr,/cochabamba/hipermaxi-juan-de-la-rosa/producto/679714/charque-cocido-libertad-clasico-100-gr,Bs. 52.00,679714
Bife de Chorizo Frigor al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672160/bife-de-chorizo-frigor-al-vacio-kg,Bs. 80.80,672160
Pechuga con Hueso Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480206/pechuga-con-hueso-sofia-bandeja-kg,Bs. 39.30,480206
Pollerita Sin Hueso Frigor Al Vacio,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672162/pollerita-sin-hueso-frigor-al-vacio,Bs. 71.50,672162
Pierna de Pollo Sofia kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480173/pierna-de-pollo-sofia-kg,Bs. 35.50,480173
Punta de S Fridosa al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/539260/punta-de-s-fridosa-al-vacio-kg,Bs. 131.00,539260
Giba Fridosa Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670116/giba-fridosa-kg,Bs. 70.00,670116
Pierna Muslo Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/436365/pierna-muslo-sofia-bandeja-kg,Bs. 35.50,436365
Colita de Cuadril Fridosa al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/539198/colita-de-cuadril-fridosa-al-vacio-kg,Bs. 97.40,539198
Pollerita Fridosa Al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/670111/pollerita-fridosa-al-vacio-kg,Bs. 77.50,670111
Alas Enteras Sofia Bandeja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/480188/alas-enteras-sofia-bandeja-kg,Bs. 45.70,480188
Bife Angosto Fridosa Porcinado al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671408/bife-angosto-fridosa-porcinado-al-vacio-kg,Bs. 99.90,671408
Bife Ancho Fridosa Porcindo al Vacio kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671407/bife-ancho-fridosa-porcindo-al-vacio-kg,Bs. 99.90,671407
POLLO TROZADO 1 8 EN BANDEJA PIO RICO KGR,/cochabamba/hipermaxi-juan-de-la-rosa/producto/672517/pollo-trozado-1-8-en-bandeja-pio-rico-kgr,Bs. 24.50,672517
Muslo de Pollo La Granja kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671236/muslo-de-pollo-la-granja-kg,Bs. 27.50,671236
Pierna Muslo La Granja Bandeja Kg,/cochabamba/hipermaxi-juan-de-la-rosa/producto/671234/pierna-muslo-la-granja-bandeja-kg,Bs. 31.50,671234
